"","RPKM","LEVEL1","DEPTH"
"145",11.2636176,"Degradation","DCM"
"146",218.5310569,"Biosynthesis","DCM"
"147",205.2175764,"Biosynthesis","DCM"
"148",1110.442663,"Energy-Metabolism","DCM"
"149",1384.452508,"Biosynthesis","DCM"
"150",4238.519772,"Biosynthesis","DCM"
"151",4243.539918,"Biosynthesis","DCM"
"152",4249.78339,"Biosynthesis","DCM"
"153",5332.528155,"Biosynthesis","DCM"
"154",5332.528155,"Biosynthesis","DCM"
"155",5429.159885,"Biosynthesis","DCM"
"156",1.23699,"Biosynthesis","SRF"
"157",0.0297017,"Biosynthesis","SRF"
"158",0.0269774,"Degradation","SRF"
"159",0.0430871,"Degradation","SRF"
"160",0.0350038,"Biosynthesis","SRF"
"161",0.0376151,"Biosynthesis","SRF"
"162",1.12101,"Biosynthesis","SRF"
"163",0.108324,"Degradation","SRF"
"164",0.321618,"Biosynthesis","SRF"
"165",0.0792168,"Degradation","SRF"
"166",0.0792168,"Degradation","SRF"
"167",1.81656,"Biosynthesis","SRF"
"168",0.403804,"Degradation","SRF"
"169",1.50056,"Biosynthesis","SRF"
"170",0.227224,"Biosynthesis","SRF"
"171",0.154353,"Degradation","SRF"
"172",0.0978919,"Degradation","SRF"
"173",0.0499464,"Degradation","SRF"
"174",0.232717,"Biosynthesis","SRF"
"175",0.420116,"Biosynthesis","SRF"
"176",0.296878,"Biosynthesis","SRF"
"177",3.72002,"Degradation","SRF"
"178",0.0156985,"Degradation","SRF"
"179",0.128192,"Biosynthesis","SRF"
"180",0.0556565,"Degradation","SRF"
"181",0.157452,"Degradation","SRF"
"182",0.321618,"Biosynthesis","SRF"
"183",4.35831,"Biosynthesis","SRF"
"184",0.144555,"Degradation","SRF"
"185",0.0792168,"Degradation","SRF"
"186",0.0404404,"Biosynthesis","SRF"
"187",0.0350038,"Biosynthesis","SRF"
"188",0.0713841,"Biosynthesis","SRF"
"189",0.0140154,"Biosynthesis","SRF"
"190",0.0430871,"Degradation","SRF"
"191",4.18779,"Biosynthesis","SRF"
"192",0.0864883,"Degradation","SRF"
"193",0.389766,"Biosynthesis","SRF"
"194",0.0713841,"Biosynthesis","SRF"
"195",0.0851869,"Biosynthesis","SRF"
"196",0.1084543,"Biosynthesis","SRF"
"197",0.161248,"Biosynthesis","SRF"
"198",0.230773,"Energy-Metabolism","SRF"
"199",3.5105528,"Degradation","SRF"
"200",0.056208,"Biosynthesis","SRF"
"201",0.561256,"Degradation","SRF"
"202",0.0792827,"Degradation","SRF"
"203",0.3697482,"Degradation","SRF"
"204",0.0215435,"Biosynthesis","SRF"
"205",0.0851869,"Biosynthesis","SRF"
"206",4.0704963,"Detoxification","SRF"
"207",0.0621035,"Degradation","SRF"
"208",2.751508,"Degradation","SRF"
"209",0.0851869,"Biosynthesis","SRF"
"210",0.405954,"Biosynthesis","SRF"
"211",1.9381632,"Biosynthesis","SRF"
"212",0.686209,"Degradation","SRF"
"213",0.1392839,"Degradation","SRF"
"214",0.1392839,"Degradation","SRF"
"215",0.6604703,"Degradation","SRF"
"216",20.058914,"Biosynthesis","SRF"
"217",0.7376051,"Degradation","SRF"
"218",0.7654292,"Biosynthesis","SRF"
"219",1.456762,"Energy-Metabolism","SRF"
"220",20.058914,"Degradation","SRF"
"221",1.5539055,"Biosynthesis","SRF"
"222",0.1584467,"Degradation","SRF"
"223",3.0525883,"Degradation","SRF"
"224",1.19008,"Degradation","SRF"
"225",0.2336023,"Biosynthesis","SRF"
"226",0.7654292,"Biosynthesis","SRF"
"227",2.293468,"Degradation","SRF"
"228",0.1392839,"Degradation","SRF"
"229",0.1392839,"Degradation","SRF"
"230",0.1392839,"Degradation","SRF"
"231",0.7444553,"Energy-Metabolism","SRF"
"232",0.7443056,"Biosynthesis","SRF"
"233",2.0801529,"Biosynthesis","SRF"
"234",20.0937833,"Degradation","SRF"
"235",20.1020011,"Degradation","SRF"
"236",1.638541,"Energy-Metabolism","SRF"
"237",0.7696406,"Biosynthesis","SRF"
"238",17.513871,"Biosynthesis","SRF"
"239",17.513871,"Degradation","SRF"
"240",8.3892492,"Biosynthesis","SRF"
"241",0.841385,"Energy-Metabolism","SRF"
"242",2.3842713,"Biosynthesis","SRF"
"243",0.0665652,"Degradation","SRF"
"244",10.2375585,"Biosynthesis","SRF"
"245",17.685695,"Degradation","SRF"
"246",4.5338554,"Biosynthesis","SRF"
"247",0.7810843,"Biosynthesis","SRF"
"248",0.9667127,"Biosynthesis","SRF"
"249",1.4822018,"Biosynthesis","SRF"
"250",0.8581963,"Biosynthesis","SRF"
"251",0.7980368,"Biosynthesis","SRF"
"252",0.455168,"Biosynthesis","SRF"
"253",0.455168,"Biosynthesis","SRF"
"254",0.0873506,"Degradation","SRF"
"255",6.6122219,"Biosynthesis","SRF"
"256",20.3099658,"Degradation","SRF"
"257",20.3099658,"Degradation","SRF"
"258",3.957495,"Biosynthesis","SRF"
"259",7.6641077,"Biosynthesis","SRF"
"260",7.2751261,"Degradation","SRF"
"261",1.593141,"Degradation","SRF"
"262",3.4363378,"Degradation","SRF"
"263",1.924051,"Biosynthesis","SRF"
"264",41.5462483,"Biosynthesis","SRF"
"265",1.2323282,"Energy-Metabolism","SRF"
"266",0.8746796,"Biosynthesis","SRF"
"267",9.2280388,"Biosynthesis","SRF"
"268",3.645715,"Biosynthesis","SRF"
"269",3.645715,"Biosynthesis","SRF"
"270",9.9910649,"Biosynthesis","SRF"
"271",22.6896918,"Biosynthesis","SRF"
"272",4.03698,"Biosynthesis","SRF"
"273",30.257158,"Metabolic-Clusters","SRF"
"274",2.9957907,"Degradation","SRF"
"275",37.4176118,"Biosynthesis","SRF"
"276",9.5834627,"Biosynthesis","SRF"
"277",15.8430466,"Biosynthesis","SRF"
"278",11.8907726,"Biosynthesis","SRF"
"279",19.267441,"Biosynthesis","SRF"
"280",9.9208838,"Biosynthesis","SRF"
"281",8.8432507,"Biosynthesis","SRF"
"282",16.7736697,"Biosynthesis","SRF"
"283",10.2907078,"Degradation","SRF"
"284",20.9987906,"Energy-Metabolism","SRF"
"285",13.4101039,"Degradation","SRF"
"286",10.9532841,"Biosynthesis","SRF"
"287",11.5618911,"Biosynthesis","SRF"
"288",13.8827756,"Biosynthesis","SRF"
"289",25.710198,"Biosynthesis","SRF"
"290",10.0398295,"Biosynthesis","SRF"
"291",25.3121643,"Biosynthesis","SRF"
"292",17.1798285,"Biosynthesis","SRF"
"293",25.6392392,"Biosynthesis","SRF"
"294",10.58611249,"Degradation","SRF"
"295",97.5149769,"Degradation","SRF"
"296",26.9138117,"Biosynthesis","SRF"
"297",8.56669222,"Biosynthesis","SRF"
"298",24.1349019,"Biosynthesis","SRF"
"299",35.3441265,"Energy-Metabolism","SRF"
"300",1.8120071,"Energy-Metabolism","SRF"
"301",20.3855493,"Biosynthesis","SRF"
"302",28.7027713,"Degradation","SRF"
"303",72.9339242,"Detoxification","SRF"
"304",52.51865912,"Biosynthesis","SRF"
"305",103.7601106,"Biosynthesis","SRF"
"306",103.8014321,"Biosynthesis","SRF"
"307",9.7442705,"Degradation","SRF"
"308",0.0430871,"Biosynthesis","SRF"
"309",176.0401584,"Energy-Metabolism","SRF"
"310",59.1882336,"Biosynthesis","SRF"
"311",40.6952271,"Biosynthesis","SRF"
"312",68.6994366,"Biosynthesis","SRF"
"313",92.4247246,"Biosynthesis","SRF"
"314",131.6750493,"Biosynthesis","SRF"
"315",102.957248,"Biosynthesis","SRF"
