"","term","sumsq","df","statistic","p.value"
"1","(Intercept)",52143749.1387057,1,319.864226761589,8.21205048333909e-71
"2","LEVEL1",14123965.8612537,4,21.6600814749602,7.6525698912242e-18
"3","DEPTH",7272039.96409655,3,14.8695703608861,1.1560196125991e-09
"4","LEVEL1:DEPTH",2327844.96033335,12,1.18997057901941,0.283331140152854
"5","Residuals",2482280923.29585,15227,NA,NA
